,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Puntaje
12509,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7.05
12510,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
12511,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7.9
12512,7,10,10,10,10,8,8,8,8,8,8,8,8,8,8,9,7,8,7,9,8.35
12513,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
12514,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,9,9,8,8,8.75
12515,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
12516,2,2,3,4,3,3,4,6,5,4,4,4,5,4,4,4,4,4,4,4,3.85
12517,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0
12518,9,8,10,9,8,9,8,9,9,8,9,8,9,9,8,8,8,8,8,8,8.5
12519,10,9,10,10,10,10,10,10,10,10,10,9,9,10,9,10,10,9,9,10,9.7
12520,6,7,7,7,6,7,8,8,7,8,8,4,5,7,8,8,7,8,6,8,7.0
12521,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
12522,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7.05
12523,10,9,9,9,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,9.8
12524,9,10,9,8,9,10,10,10,9,9,10,10,9,10,10,10,10,9,9,9,9.45
12525,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7.9
12526,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17119,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17120,6,3,6,4,7,6,3,6,4,3,4,4,5,3,4,5,3,3,5,4,4.4
17121,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9.05
17122,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0
17123,8,7,7,9,7,8,9,9,8,8,7,9,8,8,9,9,7,8,8,7,8.0
17124,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,8,9,8,9,8,8.2
17125,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17126,1,10,9,8,10,8,8,8,9,5,8,7,8,7,10,8,8,10,9,8,7.95
17127,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9.0
17128,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17129,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17130,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17131,9,8,7,9,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,8.95
17132,8,9,9,9,9,9,8,8,8,8,9,9,8,9,9,9,9,9,8,8,8.6
17133,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0
17134,8,7,7,7,7,7,7,7,6,7,8,7,6,8,7,7,8,7,9,7,7.2
17135,5,5,5,5,6,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5.15
17136,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17137,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0
17138,9,10,9,10,9,9,9,8,9,8,9,10,9,9,8,9,8,9,8,9,8.9
17139,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17140,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7.85
17141,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17142,5,6,6,5,6,6,7,6,7,7,7,7,7,6,6,6,5,6,8,6,6.25
17143,10,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.9
17144,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.2
17145,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17146,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17147,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17148,5,5,4,5,4,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4.3
17149,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17150,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17151,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,8.5
17152,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17153,9,10,10,10,10,10,10,9,9,9,9,10,9,9,9,10,9,9,10,10,9.5
17154,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17155,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0
17156,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8.05
17157,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,7.95
17158,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0
